timestamp_ms,x,y,z
284,-688,-116,104
340,-896,-88,168
393,-1036,-32,124
446,-1044,-12,96
500,-948,-36,188
554,-1012,-56,284
607,-1000,-40,268
660,-1012,-32,244
714,-964,-32,152
767,-988,-20,164
820,-1008,-28,168
874,-964,-48,204
928,-988,-48,160
981,-996,-52,148
1034,-1008,-40,164
1088,-1004,-36,148
1141,-976,-56,176
1194,-980,-44,152
1248,-992,-48,176
1302,-1004,-40,172
1355,-1008,-44,168
1408,-1000,-52,168
1463,-988,-56,156
1516,-1000,-40,160
1569,-984,-52,188
1622,-988,-48,172
1675,-1000,-40,188
1728,-992,-48,188
1781,-1000,-48,160
1834,-1004,-48,180
1888,-988,-40,160
1941,-988,-48,180
1994,-992,-52,180
2048,-992,-44,160
2101,-988,-48,176
2154,-1004,-36,180
2207,-996,-36,172
2261,-988,-40,164
2314,-996,-44,176
2368,-988,-32,156
2422,-996,-44,200
2475,-996,-40,184
2528,-984,-36,160
2582,-992,-40,184
2636,-996,-44,168
2689,-1008,-32,184
2742,-1004,-40,180
2796,-996,-52,164
2849,-992,-32,148
2902,-992,-40,160
2956,-1000,-44,196
3010,-988,-32,196
3063,-1004,-36,184
3116,-1004,-44,204
3170,-980,-36,164
3224,-996,-48,192
3277,-1000,-44,156
3330,-1000,-44,172
3384,-1000,-32,136
3437,-1000,-48,144
3490,-984,-52,156
3544,-1000,-36,156
3598,-996,-48,172
3651,-996,-40,156
3705,-1000,-44,184
3758,-992,-48,156
3811,-1000,-48,164
3864,-940,-32,120
3918,-980,-28,176
3971,-1040,-20,180
4024,-1008,-20,128
4078,-1000,-40,184
4132,-988,-64,184
4185,-972,-80,236
4238,-984,-64,172
4292,-992,-76,196
4346,-996,-68,204
4400,-1000,-76,208
4453,-988,-76,208
4506,-980,-68,172
4559,-1004,-68,196
4612,-976,-64,172
4666,-992,-60,200
4720,-988,-68,204
4773,-980,-64,188
4826,-992,-64,192
4880,-984,-68,184
4934,-988,-64,208
4987,-980,-68,180
5040,-984,-76,208
5094,-988,-60,180
5147,-992,-76,200
5200,-1004,-84,164
5254,-996,-76,232
5308,-976,-80,224
5361,-1100,176,-536
5414,-2040,160,2040
5467,-1416,56,2040
5520,1372,2040,-2040
5575,192,1768,-2040
5628,224,-1004,2040
5681,-960,-100,1612
5734,292,1688,-2040
5788,76,916,-496
5842,-1304,-412,2040
5897,-816,712,1116
5950,556,768,-2040
6004,-232,732,-728
6058,-1616,-1172,2040
6113,1020,764,-1576
6166,904,584,-2040
6220,-2040,392,1208
6273,-1540,1072,1220
6328,992,772,-1228
6382,1684,512,-2040
6436,-2040,168,132
6489,-1656,60,1196
6542,748,568,-2040
6596,-84,452,-2040
6649,-2040,-1136,2040
6704,-8,220,-288
6758,940,1164,-2040
6812,-236,832,-1148
6865,-2040,-888,2040
6920,-796,-224,412
6973,1120,1084,-2040
7028,204,780,-2036
7081,-2024,-1088,2040
7136,-452,-128,576
7190,2040,1340,-2040
7245,-488,632,-868
7298,-1684,-1448,2040
7353,-852,-524,1064
7406,1116,1228,-2040
7461,-552,740,-1120
7514,-676,-2032,2040
7570,484,896,-304
7623,460,1148,-2040
7677,-2040,-260,448
7730,-1100,-396,1568
7785,596,924,-1244
7838,-72,748,-2040
7892,-664,-1840,2040
7948,-776,-524,1788
8001,8,1064,-2040
8054,-144,944,-2040
8108,-1680,-796,2040
8163,-652,-744,1292
8216,-140,60,-284
8270,48,620,-2040
8324,-900,476,-692
8377,-1096,-1516,2040
8432,-572,-264,1320
8486,792,1068,-1652
8539,-608,1076,-1612
8594,-1968,-972,2040
8649,-1276,-524,2040
8704,548,988,-708
8757,-340,1292,-2040
8812,-2040,-176,1396
8868,-816,-812,2040
8921,972,1288,-1520
8974,264,1240,-2040
9028,-1808,8,784
9082,-1036,-916,1748
9137,328,380,172
9190,128,1100,-2040
9244,-1308,208,296
9297,-1104,-964,1800
9352,428,476,-552
9406,548,1212,-2040
9460,-832,660,-328
9513,-2040,-1224,2040
9568,-324,-348,1272
9622,808,1704,-2040
9675,-1088,480,4
9729,-2040,-1320,2040
9784,-508,4,496
9838,660,1196,-2040
9891,-344,792,-420
9944,-2040,-1508,2040
9999,-960,-232,624
10052,636,1732,-2040
10107,-580,824,-8
10161,-2040,-756,2040
10216,-924,-172,764
10269,500,1224,-1256
10324,-76,768,-1164
10380,-1960,-1172,2040
10435,188,528,-1160
10488,440,132,-2040
10542,-636,-532,132
10596,-1000,-592,644
10651,-1192,-176,-32
10706,-2040,148,-536
10762,-104,-208,-676
10817,-872,-132,-588
10872,-876,-280,-248
10927,-984,-80,-392
10980,-832,-164,-396
11035,-972,-160,-324
11090,-964,-156,-304
11146,-948,-132,-424
11201,-960,-172,-320
11256,-948,-132,-388
11311,-956,-148,-356
11366,-964,-168,-356
11421,-952,-156,-348
11476,-948,-156,-364
11532,-948,-168,-336
11587,-960,-152,-344
11642,-948,-156,-368
11697,-948,-164,-356
11753,-932,-152,-348
11808,-944,-168,-340
11863,-956,-148,-376
11918,-940,-164,-364
11973,-948,-152,-384
12028,-956,-156,-316
12084,-944,-152,-368
12139,-944,-168,-344
12194,-944,-168,-364
12249,-944,-160,-356
12304,-932,-168,-352
12359,-940,-152,-380
12414,-956,-164,-344
12470,-964,-160,-352
12525,-968,-160,-332
12580,-940,-152,-364
12635,-948,-172,-352
12691,-948,-160,-344
12746,-956,-160,-360
12801,-968,-156,-352
12856,-936,-156,-372
12911,-932,-164,-368
12966,-956,-160,-344
13021,-956,-164,-352
13076,-960,-156,-360
13131,-940,-152,-352
13186,-948,-160,-360
13242,-960,-156,-368
13297,-916,-180,-348
13352,-948,-168,-344
13407,-956,-156,-348
13463,-956,-164,-340
13518,-956,-168,-352
13573,-948,-168,-344
13628,-948,-156,-360
13683,-924,-168,-376
13738,-948,-160,-340
13794,-936,-180,-308
13849,-968,-148,-404
13904,-976,-164,-288
13959,-908,-164,-376
14015,-928,-192,-288
14070,-952,-152,-392
14125,-936,-160,-340
14180,-928,-184,-324
14235,-992,-172,-380
14290,-948,-152,-396
14345,-924,-172,-288
14400,-932,-172,-336
14455,-964,-172,-360
14510,-956,-140,-384
14565,-968,-152,-348
14620,-920,-180,-348
14675,-972,-156,-408
14730,-964,-176,-324
14786,-912,-160,-352
14841,-956,-196,-348
14896,-964,-176,-360
14952,-940,-156,-368
15007,-936,-192,-344
15062,-952,-180,-412
15117,-964,-164,-320
15173,-928,-188,-328
15228,-944,-192,-296
15283,-952,-160,-404
15338,-948,-164,-332
15393,-928,-152,-388
15448,-996,-184,-352
15504,-636,304,-1556
15559,-2040,-160,948
15614,-2040,-1288,2040
15669,916,1572,-688
15722,1692,1648,-2040
15777,-1592,52,1324
15830,-2040,-656,2040
15885,1056,1880,-944
15940,720,2000,-1596
15995,-744,-2040,2040
16050,772,1420,-188
16104,1412,1720,-2040
16159,-1796,216,-700
16214,-1496,-788,2040
16269,124,596,396
16322,1472,1104,-2040
16377,-672,868,72
16430,-2040,-548,2040
16486,1164,1028,-264
16541,2040,776,-2040
16596,-1672,12,-1328
16652,-2040,-352,-112
16707,2040,1400,-1996
16762,2040,640,-1360
16817,-2040,-500,2040
16872,-400,-4,-504
16925,1788,764,-2040
16980,1372,472,-848
17034,-2040,-236,2040
17089,-764,-352,-1016
17144,2040,268,-2040
17199,-300,432,-864
17253,-2040,104,2040
17308,256,348,508
17362,2040,-304,-2040
17417,0,532,-988
17470,-2040,344,2040
17525,-800,16,992
17578,2040,348,-2040
17634,120,620,-1000
17687,-2040,12,2040
17741,-1228,40,1220
17794,2040,932,-2040
17849,2040,580,-1480
17904,-2040,-244,1840
17959,-1736,-388,616
18014,-292,540,-416
18067,2040,116,-2040
18122,-1328,192,-168
18178,-2040,-248,2040
18233,-1004,32,552
18286,2040,348,-2040
18341,2040,220,-1976
18396,-2040,-316,624
18451,-1904,-212,828
18506,-108,444,-972
18560,2040,-4,-2040
18613,-2040,-16,1616
18668,-2040,64,2040
18722,524,732,-1464
18776,2040,272,-1740
18831,-608,-20,-440
18884,-2040,-4,2040
18938,-884,156,408
18991,2040,40,-2040
19044,-1040,216,-596
19099,-2040,-96,2040
19154,-908,60,540
19207,2040,288,-2040
19262,1784,636,-1108
19318,-2040,-128,2040
19373,-1112,-52,780
19426,1596,868,-1968
19481,2008,592,-968
19534,-2040,44,568
19587,-1780,-312,628
19642,1944,716,-1752
19698,2040,-368,-2040
19753,-2040,-156,584
19808,-1364,-540,496
19863,780,36,-1620
19917,2040,-392,-1916
19972,-1976,-420,-60
20027,-1832,-160,508
20083,1720,396,-2040
20138,48,-256,-1388
20191,-2040,-164,1452
20247,900,104,-1364
20302,740,-372,-1212
20357,-2040,-108,1404
20412,752,-292,-1580
20468,-584,-524,-456
